Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-04-14,53064200.0,33894800.0,763449200.0,1943016000.0,38787564.0,6326790400.0,835324200.0,27710400.0,11176300.0,29263033.0,206472800.0,224956000.0,27976052.0,721423800.0,23802600.0,75568600.0,206168800.0
1998-04-15,55134400.0,41645000.0,803947600.0,1719168000.0,48310557.0,6884304000.0,808836000.0,26142300.0,11533400.0,31407878.0,195277600.0,216972800.0,33962965.0,787797000.0,26049200.0,71351200.0,199696800.0
1998-04-16,53172000.0,35871600.0,843643200.0,2044056000.0,41238342.0,8722257600.0,783677400.0,24975700.0,11208100.0,32797987.0,177416800.0,213304000.0,30545777.0,746772000.0,23985000.0,69607600.0,193151200.0
1998-04-17,54850400.0,31196000.0,881046000.0,1903344000.0,34640174.0,8130091200.0,751688400.0,26425700.0,11496000.0,34695053.0,191861600.0,210690400.0,27326702.0,776922600.0,25647000.0,72358800.0,201131200.0
1998-04-20,57594800.0,36907000.0,926581200.0,1723752000.0,44941810.0,8647867200.0,788200800.0,25730000.0,11346200.0,33257668.0,198383600.0,215395200.0,25009089.0,819569400.0,24414200.0,71078200.0,194298400.0
1998-04-21,59691400.0,40324800.0,978519600.0,1556664000.0,70676757.0,8995896000.0,812316000.0,25052600.0,10972300.0,35084994.0,192209200.0,219675200.0,27380364.0,860355000.0,25751400.0,68594600.0,214994400.0
1998-04-22,58048400.0,51572400.0,1058673600.0,1330632000.0,56980851.0,8710945600.0,781677000.0,26222900.0,10686900.0,33233862.0,186587200.0,224357600.0,24686101.0,832875600.0,24086200.0,70391600.0,241888800.0
1998-04-23,61298000.0,37771400.0,994458400.0,1085568000.0,66978101.0,9186240000.0,726828000.0,25455000.0,10299200.0,31527240.0,205412000.0,219788000.0,21307726.0,803280000.0,23036800.0,66958400.0,231252000.0
1998-04-24,58241800.0,43870400.0,943022400.0,1421280000.0,58701731.0,9401784000.0,756116400.0,24837500.0,10698000.0,29386083.0,219125200.0,212540800.0,12225263.0,837339600.0,21690400.0,64867600.0,242701600.0
1998-04-27,55352200.0,38397400.0,884270400.0,1043568000.0,49711361.0,8991987200.0,718589400.0,24029300.0,10570000.0,26274935.0,207154800.0,202945600.0,7728413.0,791350800.0,19802000.0,60509600.0,253013600.0
