Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-04-16,1962400,5773400,39695600,324888000,7072215,1837953600,25158600,1166600,325300,1390109,17860800,3668800,3417188,41025000,2064200,1743600,6545600
1998-04-17,1678400,4675600,37402800,140712000,6598168,592166400,31989000,1450000,287900,1897066,14444800,2613600,3219075,30150600,1662000,2751200,7980000
1998-04-20,2744400,5711000,45535200,179592000,10301636,517776000,36512400,695700,149800,1437385,6522000,4704800,2317613,42646800,1232800,1280600,6832800
1998-04-21,2096600,3417800,51938400,167088000,25734947,348028800,24115200,677400,373900,1827326,6174400,4280000,2371275,40785600,1337200,2483600,20696000
1998-04-22,1643000,11247600,80154000,226032000,13695906,284950400,30639000,1170300,285400,1851132,5622000,4682400,2694263,27479400,1665200,1797000,26894400
1998-04-23,3249600,13801000,64215200,245064000,9997250,475294400,54849000,767900,387700,1706622,18824800,4569600,3378375,29595600,1049400,3433200,10636800
1998-04-24,3056200,6099000,51436000,335712000,8276370,215544000,29288400,617500,398800,2141157,13713200,7247200,9082463,34059600,1346400,2090800,11449600
1998-04-27,2889600,5473000,58752000,377712000,8990370,409796800,37527000,808200,128000,3111148,11970400,9595200,4496850,45988800,1888400,4358000,10312000
1998-04-28,3258400,3029600,56668000,1391880000,10851413,237171200,41070600,572300,592600,2624644,6524000,6624800,7220475,48764400,1981800,3154600,16518400
1998-04-29,2323400,3910200,50061600,633144000,7120959,189537600,40535400,682100,242900,1971836,12390800,8984000,3641625,41491800,1371200,2579800,7426400
1998-04-30,2396000,3815600,54473600,449712000,7442290,179950400,46720200,887400,442400,1617770,16231600,11359200,3113438,55056000,1538000,3525800,5620800
1998-05-01,1678200,2622800,35996000,186144000,5180838,184072000,52196400,878800,258000,3170495,5236000,7000800,2732063,30788400,924600,1661200,5657600
1998-05-04,1529600,7686400,37899600,154704000,5557398,571144000,40241400,546100,175300,2838223,4649200,4484000,3912638,47264400,1417600,1316200,6195200
1998-05-05,2068800,5720800,50828000,119976000,5641287,419283200,65786400,734200,165800,2647779,9730000,5973600,3006113,47576400,1287800,1845400,7532000
1998-05-06,1504400,3551200,48110800,148776000,6657790,897008000,43002000,1429500,135300,1787427,7518400,5621600,4150575,96796200,969000,2100600,5440800
1998-05-07,1844400,3634400,78022000,277752000,5553005,552899200,34075200,531800,118300,1937972,4572800,8633600,4144500,37243200,1440000,1401200,5353600
1998-05-08,1528600,3964400,96274800,95856000,8124073,270816000,28894200,909900,163500,2832858,10131600,8900000,4186013,35513400,1499800,1482800,3972000
1998-05-11,1477200,4714000,51474400,227448000,9981769,665022400,27403200,816300,288200,1478961,7373600,7950400,3650063,38456400,1326600,1546000,4276800
1998-05-12,1670000,12354400,64147200,232728000,7894790,257812800,34554000,869200,100100,3041073,7629200,4170400,2799225,36346200,1560400,3991400,6202400
1998-05-13,1648200,5300400,80680400,278880000,8291224,314417600,26074200,561600,124900,1728080,9438400,6102400,2114775,29213400,1488200,1091800,4926400
1998-05-14,1959400,5513200,94774400,172008000,22025831,162680000,31849200,582100,175900,2352054,12668400,10771200,3413813,28810800,1494200,1277600,6278400
1998-05-15,3608800,14096200,48150800,92568000,11712899,272585600,33055800,584800,225400,3154065,17007600,4563200,4970363,42159000,1675000,1620800,5268800
1998-05-18,2236600,6134000,80395600,132360000,7375346,232388800,32785800,310400,134400,2037552,9618800,6199200,2522475,45171000,1248000,2471400,8905600
1998-05-19,3852800,5857000,52234400,68472000,8154616,218265600,27483000,499000,149200,1611735,14281200,5775200,3217050,68789400,1389400,2097000,4840000
